eventID,occurrenceID,measurementID,measurementType,measurementUnit,measurementValue,measurementAccuracy,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementTypeID,measurementUnitID,measurementValueID
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:4:seagrass-cover,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:4:seagrass-cover:374715,,percentCover,Percent,15.0,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/PCOV7736/,https://vocab.nerc.ac.uk/collection/P06/current/UPCT/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:4:seagrass-density,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:4:seagrass-density:374715,,shootDensity,Number per square metre,128.0,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/,https://vocab.nerc.ac.uk/collection/P06/current/UPMS/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:102401,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:1135,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:1268,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:158082,,epifaunaAbundance,number g-1 seagrass,8.671,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:158361,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:160065,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:160102,,epifaunaAbundance,number g-1 seagrass,8.671,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:160174,,epifaunaAbundance,number g-1 seagrass,14.451,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:160228,,epifaunaAbundance,number g-1 seagrass,8.671,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:22496,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:419588,,epifaunaAbundance,number g-1 seagrass,37.572,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:420149,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:421589,,epifaunaAbundance,number g-1 seagrass,11.561,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-epifauna:877061,,epifaunaAbundance,number g-1 seagrass,2.89,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-shoots,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-shoots:208925,,shootLength,cm,11.05,,,2021-07-22,https://doi.org/10.25573/serc.14925114,,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-shoots,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:8:seagrass-shoots:374715,,shootLength,cm,17.5,,,2021-07-22,https://doi.org/10.25573/serc.14925114,,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-cover,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-cover:208925,,percentCover,Percent,15.0,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/PCOV7736/,https://vocab.nerc.ac.uk/collection/P06/current/UPCT/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-cover,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-cover:374715,,percentCover,Percent,4.0,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/PCOV7736/,https://vocab.nerc.ac.uk/collection/P06/current/UPCT/,
MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-density,MarineGEO:USA-IRL_seagrass_2021:Bear_Point_Seagrass:1:12:seagrass-density:208925,,shootDensity,Number per square metre,128.0,,,2021-07-22,https://doi.org/10.25573/serc.14925114,https://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/,https://vocab.nerc.ac.uk/collection/P06/current/UPMS/,
